   name1,name2,street1,city,state,zip,zip4,county,phone,intake_prompt,intake1,intake2,website,latitude,longitude,type_facility
Spectrum Health Systems Inc,Waltham,210 Bear Hill Road,Waltham,MA,2451,,Middlesex,781-290-4970,,508-917-6792,,http://www.spectrumhealthsystems.org,42.383622,-71.266143,SA
Hurley House,Recovery Home,12 Lowell Street,Waltham,MA,2454,,Middlesex,781-891-4323,,,781-899-2540,http://www.thehurleyhouse.com,42.37055259,-71.23380504,SA
SMOC Behavioral Healthcare,,230 Maple Street,Framingham,MA,1702,,Middlesex,508-480-0092,,508-879-2250 x3145,,http://www.smoc.org,42.292709,-71.4396786,SA
Veterans MH and Addiction Programs,(VMHAP),200 Springs Road,Bedford,MA,1730,,Middlesex,800-838-6331 x2580,,800-838-6331 x2483,,http://www.bedford.va.gov,42.5048759,-71.2734301,SA
SMOC Behavioral Healthcare,Sage House,517 Winter Street,Framingham,MA,1702,,Middlesex,508-626-2586,,,,http://www.smoc.org,42.285193,-71.443207,SA
Genesis Counseling Services Inc,,24 Union Avenue,Framingham,MA,1702,,Middlesex,508-620-2992,,,,http://www.genesiscounselingservices.org,42.2792452,-71.4172572,SA
Spectrum Health Systems Inc,,68 Franklin Street,Framingham,MA,1702,,Middlesex,508-875-5801,,508-831-0045 x1161,,http://www.spectrumhealthsystems.org,42.279063,-71.418366,SA
SMOC Behavioral Healthcare,,100 Howard Street,Framingham,MA,1702,,Middlesex,508-879-2250,,508-879-2250 x3145,,http://www.smoc.org,42.2778757,-71.4162872,SA
Advocates Community Counseling,,354 Waverly Street,Framingham,MA,1702,,Middlesex,508-661-2020,,,,http://www.advocates.org/,42.276897,-71.4138412,SA
New England Aftercare Ministries Inc,The Bridge House,18 Summit Street,Framingham,MA,1702,,Middlesex,508-872-6194 x102,,508-872-6194 x105,,http://www.thebridgehouse.org,42.273066,-71.41168,SA
McLean Hospital,Alcohol and Drug Abuse Treatment,115 Mill Street,Belmont,MA,2478,,Middlesex,800-906-9531,,617-855-3141,,http://www.mcleanhospital.org,42.3942245,-71.1913762,SA
